case,endpoint,iteration,http_status,expected_status,latency_ms,passed,errors
solve-valid,POST /api/solve,15,200,200,60.829,True,
solve-unsolvable,POST /api/solve,15,200,200,6.978,True,
solve-malformed,POST /api/solve,15,400,400,2.339,True,
solve-invalid,POST /api/solve,15,422,422,3.524,True,
import-light,POST /api/import,15,200,200,109.391,True,
import-dark,POST /api/import,15,200,200,94.364,True,
import-corrupt,POST /api/import,15,400,400,2.415,True,
health,GET /api/health,16,200,200,2.284,True,
architecture,GET /api/architecture,16,200,200,14.791,True,
solve-valid,POST /api/solve,16,200,200,55.773,True,
solve-unsolvable,POST /api/solve,16,200,200,10.912,True,
solve-malformed,POST /api/solve,16,400,400,3.502,True,
solve-invalid,POST /api/solve,16,422,422,3.229,True,
import-light,POST /api/import,16,200,200,111.031,True,
import-dark,POST /api/import,16,200,200,91.427,True,
import-corrupt,POST /api/import,16,400,400,2.446,True,
health,GET /api/health,17,200,200,1.91,True,
architecture,GET /api/architecture,17,200,200,13.764,True,
solve-valid,POST /api/solve,17,200,200,60.615,True,
solve-unsolvable,POST /api/solve,17,200,200,6.844,True,
solve-malformed,POST /api/solve,17,400,400,2.238,True,
solve-invalid,POST /api/solve,17,422,422,4.001,True,
import-light,POST /api/import,17,200,200,119.636,True,
import-dark,POST /api/import,17,200,200,93.092,True,
import-corrupt,POST /api/import,17,400,400,2.162,True,
health,GET /api/health,18,200,200,3.098,True,
architecture,GET /api/architecture,18,200,200,15.995,True,
solve-valid,POST /api/solve,18,200,200,56.257,True,
solve-unsolvable,POST /api/solve,18,200,200,7.695,True,
solve-malformed,POST /api/solve,18,400,400,2.701,True,
solve-invalid,POST /api/solve,18,422,422,2.023,True,
import-light,POST /api/import,18,200,200,104.467,True,
import-dark,POST /api/import,18,200,200,95.301,True,
import-corrupt,POST /api/import,18,400,400,4.105,True,
health,GET /api/health,19,200,200,3.021,True,
architecture,GET /api/architecture,19,200,200,14.404,True,
solve-valid,POST /api/solve,19,200,200,57.313,True,
solve-unsolvable,POST /api/solve,19,200,200,7.926,True,
solve-malformed,POST /api/solve,19,400,400,3.073,True,
solve-invalid,POST /api/solve,19,422,422,2.393,True,
import-light,POST /api/import,19,200,200,118.075,True,
import-dark,POST /api/import,19,200,200,79.749,True,
import-corrupt,POST /api/import,19,400,400,2.226,True,
